Sim Instant,Robot State,Machines State,Machine CT,Machines Breakdowns,Machines Idle Time,Buffers State
75662.5716881331,"('M2', 'M3')","[False, False, False, False, False, False, False]","[1845.428577759344, 1891.5642922033276, 1940.0659407213616, 2044.9343699495432, 2101.738102448142, 2101.738102448142, 2101.738102448142]","[1, 1, 0, 0, 0, 1, 1]","[70779.68700821194, 65456.97878588751, 37487.55134998996, 74236.9157238476, 71299.26550405608, 69100.31179262343, 68222.47459969639]","[(0, 0), (0, 0), (0, 1), (0, 0), (0, 0), (0, 0), (0, 1)]"
75762.5716881331,"('M3', 'M4')","[False, False, True, False, False, False, False]","[1847.8676021495878, 1894.0642922033276, 1942.6300432854641, 2047.637072652246, 2104.5158802259193, 2104.5158802259193, 2104.5158802259193]","[1, 1, 0, 0, 0, 1, 1]","[70779.68700821194, 65456.97878588751, 37487.55134998996, 74236.9157238476, 71299.26550405608, 69100.31179262343, 68222.47459969639]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
75873.26981672914,"('M4', 'M5')","[False, False, True, False, False, False, False]","[1850.5675565055888, 1896.8317454182284, 1945.4684568392088, 1996.6649951770826, 2107.590828242476, 2107.590828242476, 2107.590828242476]","[1, 1, 0, 0, 0, 1, 1]","[70779.68700821194, 65456.97878588751, 37487.55134998996, 75370.58395402499, 71299.26550405608, 69100.31179262343, 68222.47459969639]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
76074.16782487645,"('M5', 'M6')","[False, False, True, False, False, False, False]","[1855.467507923816, 1901.8541956219112, 1950.6196878173448, 2001.9517848651697, 2056.058589861526, 2113.1713284687903, 2113.1713284687903]","[1, 1, 0, 0, 0, 1, 1]","[70779.68700821194, 65456.97878588751, 37487.55134998996, 75370.58395402499, 72342.79338978072, 69100.31179262343, 68222.47459969639]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
76235.02664921348,"('M6', 'M7')","[False, False, True, False, False, False, False]","[1859.3908938832558, 1905.8756662303372, 1954.744273056756, 2006.1849118214075, 2060.4061256544182, 2060.4061256544182, 2117.639629144819]","[1, 1, 0, 0, 0, 1, 1]","[70779.68700821194, 65456.97878588751, 37487.55134998996, 75370.58395402499, 72342.79338978072, 70183.86804114141, 68222.47459969639]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
76335.02664921348,"('M7', 'OutputStock')","[False, False, True, False, False, False, False]","[1861.8299182734995, 1908.3756662303372, 1957.3083756208584, 2008.8164907687758, 2063.108828357121, 2063.108828357121, 2063.108828357121]","[1, 1, 0, 0, 0, 1, 1]","[70779.68700821194, 65456.97878588751, 37487.55134998996, 75370.58395402499, 72342.79338978072, 70183.86804114141, 69315.66014956744]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
76435.02664921348,"('InputStock', 'M1')","[False, False, True, False, False, False, False]","[1864.2689426637435, 1910.8756662303372, 1959.8724781849612, 2011.4480697161443, 2065.8115310598237, 2065.8115310598237, 2065.8115310598237]","[1, 1, 0, 0, 0, 1, 1]","[70779.68700821194, 65456.97878588751, 37487.55134998996, 75370.58395402499, 72342.79338978072, 70183.86804114141, 69315.66014956744]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
76555.87775319045,"('M1', 'M2')","[False, False, True, False, False, False, False]","[1822.7589941235822, 1913.8969438297613, 1962.9712244407808, 2014.6283619260644, 2069.0777771132553, 2069.0777771132553, 2069.0777771132553]","[1, 1, 0, 0, 0, 1, 1]","[71903.0672788084, 65456.97878588751, 37487.55134998996, 75370.58395402499, 72342.79338978072, 70183.86804114141, 69315.66014956744]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
76806.57899165046,"('M2', 'M3')","[False, False, False, False, False, False, False]","[1828.728071229773, 1873.331194918304, 1920.1644747912615, 2021.22576293817, 2075.853486260823, 2075.853486260823, 2075.853486260823]","[1, 1, 0, 0, 0, 1, 1]","[71903.0672788084, 66450.28485094485, 37631.146742715435, 75370.58395402499, 72342.79338978072, 70183.86804114141, 69315.66014956744]","[(0, 0), (0, 0), (0, 1), (0, 0), (0, 0), (0, 0), (0, 1)]"
76906.57899165046,"('M3', 'M4')","[False, False, True, False, False, False, False]","[1831.1090236107252, 1875.7702193085477, 1922.6644747912615, 2023.8573418855383, 2078.556188963526, 2078.556188963526, 2078.556188963526]","[1, 1, 0, 0, 0, 1, 1]","[71903.0672788084, 66450.28485094485, 37631.146742715435, 75370.58395402499, 72342.79338978072, 70183.86804114141, 69315.66014956744]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
77017.37191387228,"('M4', 'M5')","[False, False, True, False, False, False, False]","[1833.7469503302923, 1878.472485704202, 1925.434297846807, 1974.8044080480072, 2081.5505922668185, 2081.5505922668185, 2081.5505922668185]","[1, 1, 0, 0, 0, 1, 1]","[71903.0672788084, 66450.28485094485, 37631.146742715435, 76503.8931289463, 72342.79338978072, 70183.86804114141, 69315.66014956744]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
77218.22058900747,"('M5', 'M6')","[False, False, True, False, False, False, False]","[1838.529061643035, 1883.371233878231, 1930.4555147251867, 1979.9543740771146, 2032.0584365528282, 2086.9789348380395, 2086.9789348380395]","[1, 1, 0, 0, 0, 1, 1]","[71903.0672788084, 66450.28485094485, 37631.146742715435, 76503.8931289463, 73385.99747877655, 70183.86804114141, 69315.66014956744]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
77379.08350605579,"('M6', 'M7')","[False, False, True, False, False, False, False]","[1842.3591310965664, 1887.2947196598973, 1934.4770876513946, 1984.0790642578406, 2036.2916712119943, 2036.2916712119943, 2091.326581244751]","[1, 1, 0, 0, 0, 1, 1]","[71903.0672788084, 66450.28485094485, 37631.146742715435, 76503.8931289463, 73385.99747877655, 71267.0619809354, 69315.66014956744]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
77479.08350605579,"('M7', 'OutputStock')","[False, False, True, False, False, False, False]","[1844.7400834775187, 1889.7337440501412, 1936.9770876513946, 1986.6431668219432, 2038.9232501593629, 2038.9232501593629, 2038.9232501593629]","[1, 1, 0, 0, 0, 1, 1]","[71903.0672788084, 66450.28485094485, 37631.146742715435, 76503.8931289463, 73385.99747877655, 71267.0619809354, 70408.97860152653]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
77579.08350605579,"('InputStock', 'M1')","[False, False, True, False, False, False, False]","[1847.121035858471, 1892.172768440385, 1939.4770876513946, 1989.207269386046, 2041.5548291067312, 2041.5548291067312, 2041.5548291067312]","[1, 1, 0, 0, 0, 1, 1]","[71903.0672788084, 66450.28485094485, 37631.146742715435, 76503.8931289463, 73385.99747877655, 71267.0619809354, 70408.97860152653]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
77699.92038672496,"('M1', 'M2')","[False, False, True, False, False, False, False]","[1806.974892714534, 1895.120009432316, 1942.498009668124, 1992.3056509416656, 2044.734747019078, 2044.734747019078, 2044.734747019078]","[1, 1, 0, 0, 0, 1, 1]","[73026.27303167374, 66450.28485094485, 37631.146742715435, 76503.8931289463, 73385.99747877655, 71267.0619809354, 70408.97860152653]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
77950.87750467201,"('M2', 'M3')","[False, False, False, False, False, False, False]","[1812.8111047598143, 1855.9732739207623, 1901.2409147480978, 1998.7404488377438, 2051.338881701895, 2051.338881701895, 2051.338881701895]","[1, 1, 0, 0, 0, 1, 1]","[73026.27303167374, 67443.62624601935, 37774.1021403657, 76503.8931289463, 73385.99747877655, 71267.0619809354, 70408.97860152653]","[(0, 0), (0, 0), (0, 1), (0, 0), (0, 0), (0, 0), (0, 1)]"
78050.87750467201,"('M3', 'M4')","[False, False, True, False, False, False, False]","[1815.136686155163, 1858.3542263017146, 1903.6799391383418, 2001.3045514018465, 2053.9704606492633, 2053.9704606492633, 2053.9704606492633]","[1, 1, 0, 0, 0, 1, 1]","[73026.27303167374, 67443.62624601935, 37774.1021403657, 76503.8931289463, 73385.99747877655, 71267.0619809354, 70408.97860152653]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
78161.78918860582,"('M4', 'M5')","[False, False, True, False, False, False, False]","[1817.7160276419959, 1860.994980681091, 1906.3851021611176, 1954.0447297151454, 2056.889189173837, 2056.889189173837, 2056.889189173837]","[1, 1, 0, 0, 0, 1, 1]","[73026.27303167374, 67443.62624601935, 37774.1021403657, 77637.39871974604, 73385.99747877655, 71267.0619809354, 70408.97860152653]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
78362.98950931733,"('M5', 'M6')","[False, False, True, False, False, False, False]","[1822.3951048678448, 1865.7854645075554, 1911.2924270565202, 1959.074737732933, 2009.3074233158288, 2062.1839344557193, 2062.1839344557193]","[1, 1, 0, 0, 0, 1, 1]","[73026.27303167374, 67443.62624601935, 37774.1021403657, 77637.39871974604, 74429.5660783749, 71267.0619809354, 70408.97860152653]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
78524.01133544614,"('M6', 'M7')","[False, False, True, False, False, False, False]","[1826.1397984987473, 1869.6193175106223, 1915.219788669418, 1963.1002833861535, 2013.4361880883625, 2013.4361880883625, 2066.421350932793]","[1, 1, 0, 0, 0, 1, 1]","[73026.27303167374, 67443.62624601935, 37774.1021403657, 77637.39871974604, 74429.5660783749, 72350.96798419693, 70408.97860152653]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
78624.01133544614,"('M7', 'OutputStock')","[False, False, True, False, False, False, False]","[1828.4653798940963, 1872.0002698915746, 1917.658813059662, 1965.6002833861535, 2016.000290652465, 2016.000290652465, 2016.000290652465]","[1, 1, 0, 0, 0, 1, 1]","[73026.27303167374, 67443.62624601935, 37774.1021403657, 77637.39871974604, 74429.5660783749, 72350.96798419693, 71503.05949064372]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
78724.01133544614,"('InputStock', 'M1')","[False, False, True, False, False, False, False]","[1830.790961289445, 1874.381222272527, 1920.0978374499057, 1968.1002833861535, 2018.5643932165676, 2018.5643932165676, 2018.5643932165676]","[1, 1, 0, 0, 0, 1, 1]","[73026.27303167374, 67443.62624601935, 37774.1021403657, 77637.39871974604, 74429.5660783749, 72350.96798419693, 71503.05949064372]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
78844.95497054845,"('M1', 'M2')","[False, False, True, False, False, False, False]","[1791.9307947851921, 1877.260832632106, 1923.0476822084988, 1971.1238742637113, 2021.665512065345, 2021.665512065345, 2021.665512065345]","[1, 1, 0, 0, 0, 1, 1]","[74150.36398039492, 67443.62624601935, 37774.1021403657, 77637.39871974604, 74429.5660783749, 72350.96798419693, 71503.05949064372]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
79095.84877999703,"('M2', 'M3')","[False, False, False, False, False, False, False]","[1797.6329268181144, 1839.4383437208612, 1883.2344947618342, 1977.3962194999258, 2028.0986866665905, 2028.0986866665905, 2028.0986866665905]","[1, 1, 0, 0, 0, 1, 1]","[74150.36398039492, 68437.7037118958, 37917.2601000677, 77637.39871974604, 74429.5660783749, 72350.96798419693, 71503.05949064372]","[(0, 0), (0, 0), (0, 1), (0, 0), (0, 0), (0, 0), (0, 1)]"
79195.84877999703,"('M3', 'M4')","[False, False, True, False, False, False, False]","[1799.9056540908416, 1841.76392511621, 1885.6154471427865, 1979.8962194999258, 2030.662789230693, 2030.662789230693, 2030.662789230693]","[1, 1, 0, 0, 0, 1, 1]","[74150.36398039492, 68437.7037118958, 37917.2601000677, 77637.39871974604, 74429.5660783749, 72350.96798419693, 71503.05949064372]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
79306.67429797896,"('M4', 'M5')","[False, False, True, False, False, False, False]","[1802.4244158631582, 1844.3412627436967, 1888.25414995188, 1934.309129218999, 2033.5044691789476, 2033.5044691789476, 2033.5044691789476]","[1, 1, 0, 0, 0, 1, 1]","[74150.36398039492, 68437.7037118958, 37917.2601000677, 78771.45831113725, 74429.5660783749, 72350.96798419693, 71503.05949064372]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
79507.60643454688,"('M5', 'M6')","[False, False, True, False, False, False, False]","[1806.9910553306108, 1849.014103128997, 1893.0382484415923, 1939.2099130377287, 1987.690160863672, 2038.6565752447916, 2038.6565752447916]","[1, 1, 0, 0, 0, 1, 1]","[74150.36398039492, 68437.7037118958, 37917.2601000677, 78771.45831113725, 75473.25086703654, 72350.96798419693, 71503.05949064372]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
