Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
31,"[226.8982075651337, 91.99919406554335, 4973.355524467271, 2924.238795594009, 4029.6032401801995, 5673.5681508952775, 2909.597813142472]","[119962.4854319238, 34078.86116282173, 2203348.7294370867, 2253015.864064218, 2202710.710536683, 2144136.3373944224, 2214292.00860194]","[13, 15, 20, 12, 16, 20, 12]","[9564.575645756458, 14480.446927374302, 904.3963712491277, 918.8231123714995, 934.0540540540541, 953.2916513424053, 975.1693002257337]",2629.0,985.9262076835298
32,"[14479.687937875766, 88.61435383230338, 3127.648854490589, 3296.8030387914214, 3207.4998292455703, 2706.069718180145, 3357.374988554164]","[136549.86980324326, 33237.66062455111, 2234035.4155438794, 2195284.7935735607, 2236823.174038364, 2234884.09959365, 2174451.5402710536]","[12, 19, 14, 14, 18, 11, 18]","[9564.575645756458, 14480.446927374302, 914.9311683727498, 930.7001795332136, 946.6764061358656, 961.7810760667903, 982.1902235695339]",2606.0,994.6277820414429
33,"[263.36504717334105, 116.58337198162147, 3023.7058161363325, 4947.88165241703, 3358.2654809558708, 3074.549727672922, 3986.5805206608297]","[136502.80489760393, 43602.18112112643, 2225368.674089577, 2214193.856593437, 2225176.1071978337, 2255124.5759769664, 2165605.544234334]","[20, 11, 13, 18, 18, 10, 15]","[9564.575645756458, 14320.441988950277, 915.5775344401271, 928.3667621776505, 945.2954048140044, 960.711638250556, 980.3328290468986]",2608.0,993.8650306748466
34,"[272.3774154024622, 99.87879466671576, 3522.3022041037048, 3360.6924492091875, 3696.6250458398968, 4453.623993121358, 2341.8479741828282]","[142676.90629097767, 37854.06317868527, 2227958.2526656236, 2214224.1432247143, 2189713.3210080215, 2128738.6776586478, 2264972.2496478735]","[17, 18, 15, 12, 19, 17, 8]","[9564.575645756458, 14400.0, 925.0535331905782, 938.1107491856677, 951.1926605504588, 968.2480388494583, 989.6907216494845]",2591.0,1000.3859513701274
35,"[266.3172002658062, 74.05641931678352, 5798.046058706401, 3282.962595498704, 4171.311743470084, 1749.808587797474, 3101.4976724493436]","[141716.29372032927, 27623.044405160254, 2176796.385803176, 2245862.516655123, 2211238.001162923, 2273546.7355111344, 2156167.3720506574]","[14, 12, 25, 15, 18, 6, 12]","[9564.575645756458, 14400.0, 908.835904628331, 926.3759828448892, 941.1764705882352, 955.3999262808699, 975.9036144578313]",2619.0,989.6907216494845
36,"[256.2507775716686, 77.86308337099034, 2923.099298825041, 5404.128431036239, 4825.742584779692, 3344.276566278248, 3097.7137372562024]","[137553.16229795542, 29198.65626412138, 2249412.312152132, 2153229.4692172827, 2170665.2640414685, 2219653.214110911, 2125404.667514934]","[10, 14, 12, 25, 17, 17, 13]","[9564.575645756458, 14400.0, 895.6461644782308, 910.4320337197049, 930.3661162957645, 948.0614484272129, 970.7865168539325]",2631.0,985.1767388825542
37,"[253.72654862517174, 107.49471884427558, 3675.3602193296565, 3591.5845759049034, 3728.6018177042674, 4201.8038063004815, 4470.065174610184]","[133458.77397207916, 40095.53012891479, 2191482.0111065526, 2204815.853765088, 2218990.762249525, 2162146.9211294614, 2109295.095423528]","[14, 10, 15, 19, 16, 18, 17]","[9564.575645756458, 14320.441988950277, 920.7815275310835, 937.0932754880694, 953.2916513424053, 969.6969696969697, 991.2045889101338]",2586.0,1002.3201856148492
38,"[2783.299644617643, 4721.992432378646, 2444.070630234015, 3262.9242840139136, 4608.24747190147, 2731.6784732365745, 3345.6021904785753]","[131652.90079634768, 33404.57728300252, 2250860.708331406, 2246858.6809261595, 2222600.9794038273, 2220889.3499027686, 2157460.175505201]","[14, 9, 11, 13, 18, 9, 15]","[9564.575645756458, 14480.446927374302, 903.1358885017422, 918.4975194897236, 936.0780065005417, 954.6961325966851, 972.6078799249531]",2641.0,981.4464218099205
39,"[3826.162012075749, 105.90054027505309, 3202.0605553320333, 2135.688119058437, 3291.923308053479, 4213.835122635768, 1490.8753858459136]","[137675.27291540592, 39395.00098231975, 2235409.3178238594, 2275777.642848636, 2231438.8832673323, 2190872.2727166633, 2266528.717953833]","[15, 13, 13, 5, 14, 18, 7]","[9564.575645756458, 14480.446927374302, 900.3126085446336, 911.712979247274, 927.3703041144902, 942.8883230265551, 961.7810760667903]",2660.0,974.4360902255639
40,"[4147.115355880394, 82.55053449397568, 4104.909433635739, 3997.6851448294606, 2308.5602931620606, 3012.043121893807, 4595.2312257178555]","[140789.57272309065, 30873.899900746903, 2205209.023295747, 2212324.1898129215, 2244893.8605716163, 2232908.286549379, 2131461.293013673]","[19, 11, 19, 15, 12, 13, 17]","[9564.575645756458, 14320.441988950277, 907.8809106830123, 922.748309006764, 939.1304347826087, 952.9411764705883, 972.2430607651913]",2634.0,984.0546697038725
